m,selected_stocks,weights
5,"['AMZN', 'ADI', 'AAPL', 'MSFT', 'MDLZ']","0.2501226, 0.11375807, 0.19169221, 0.28986928, 0.15455784"
10,"['GOOG', 'AMZN', 'AAPL', 'FB', 'INTC', 'MXIM', 'MSFT', 'MDLZ', 'VRTX', 'WDAY']","0.12858903, 0.14339909, 0.13666909, 0.07273498, 0.07390448, 0.08891641, 0.15300255, 0.11995094, 0.05154123, 0.03129221"
20,"['ADBE', 'GOOG', 'AMZN', 'AMGN', 'AAPL', 'CSCO', 'CMCSA', 'FB', 'GILD', 'INTC', 'MU', 'MSFT', 'MDLZ', 'NFLX', 'PAYX', 'PYPL', 'QCOM', 'TXN', 'WBA', 'XLNX']","0.03543153, 0.09150231, 0.09985161, 0.04021452, 0.12100947, 0.03834482, 0.03357766, 0.05804274, 0.03883689, 0.04708456, 0.02226448, 0.12303841, 0.05897466, 0.01477743, 0.05753792, 0.0391841, 0.01812963, 0.02200312, 0.02165208, 0.01854206"
30,"['ADBE', 'ALXN', 'GOOG', 'AMZN', 'AAPL', 'AMAT', 'ADP', 'BIDU', 'BIIB', 'AVGO', 'CHTR', 'CSCO', 'CTXS', 'CMCSA', 'COST', 'CSX', 'EXPE', 'FB', 'GILD', 'INTC', 'ISRG', 'MU', 'MSFT', 'MDLZ', 'NFLX', 'PYPL', 'QCOM', 'REGN', 'TXN', 'WBA']","0.03181971, 0.0101511, 0.08988257, 0.08850637, 0.11238592, 0.01134267, 0.04766493, 0.01153992, 0.01032927, 0.01860284, 0.01651924, 0.02679891, 0.02155276, 0.02229192, 0.02013161, 0.01570234, 0.00858471, 0.04760874, 0.0264286, 0.03430113, 0.01844198, 0.01459008, 0.11965806, 0.04605671, 0.02751373, 0.02838089, 0.01040823, 0.01096063, 0.03687339, 0.01497105"
40,"['ADBE', 'AMD', 'GOOGL', 'AMZN', 'AMGN', 'AAPL', 'ADP', 'BIIB', 'BKNG', 'AVGO', 'CSCO', 'CTXS', 'CMCSA', 'COST', 'CSX', 'EBAY', 'EA', 'FB', 'GILD', 'ILMN', 'INTC', 'ISRG', 'KHC', 'MAR', 'MXIM', 'MU', 'MSFT', 'MDLZ', 'NFLX', 'NVDA', 'PAYX', 'PYPL', 'QCOM', 'REGN', 'TMUS', 'TSLA', 'TXN', 'ULTA', 'VRSN', 'WBA']","0.02515668, 0.00479157, 0.08518727, 0.0979077, 0.01638664, 0.11195102, 0.03319049, 0.00707339, 0.01291658, 0.01790484, 0.02705347, 0.01660924, 0.02883809, 0.02114076, 0.01311054, 0.00868901, 0.0095028, 0.05321485, 0.0152493, 0.00768771, 0.03399604, 0.01169685, 0.00534754, 0.01118346, 0.02214852, 0.01558373, 0.09740415, 0.02977482, 0.02220771, 0.00866979, 0.02184403, 0.02419958, 0.0141525, 0.01124606, 0.01097864, 0.0072289, 0.01523216, 0.00380386, 0.01230581, 0.00743388"
50,"['ADBE', 'AMD', 'GOOG', 'AMZN', 'AMGN', 'AAPL', 'AMAT', 'ASML', 'ADP', 'BIDU', 'BIIB', 'BKNG', 'AVGO', 'CSCO', 'CMCSA', 'COST', 'CSX', 'DLTR', 'FB', 'GILD', 'ILMN', 'INTC', 'ISRG', 'JD', 'KHC', 'LBTYK', 'LULU', 'MAR', 'MXIM', 'MU', 'MSFT', 'MDLZ', 'NFLX', 'NVDA', 'PAYX', 'PYPL', 'PEP', 'QCOM', 'REGN', 'SNPS', 'TMUS', 'TTWO', 'TSLA', 'TXN', 'ULTA', 'VRSN', 'VRTX', 'WBA', 'WDAY', 'XLNX']","0.02172893, 0.00448929, 0.08556084, 0.0980286, 0.01906756, 0.10478288, 0.00730146, 0.00843471, 0.02069801, 0.00569787, 0.00683261, 0.01658102, 0.01137381, 0.0271251, 0.02647098, 0.01484692, 0.01407089, 0.00651691, 0.05324802, 0.01632887, 0.0050105, 0.03518244, 0.01391884, 0.00623433, 0.007624, 0.00612967, 0.00762483, 0.00797064, 0.00943113, 0.01063275, 0.09691728, 0.0203081, 0.01806386, 0.00691084, 0.02145332, 0.01827421, 0.02056714, 0.01060033, 0.00596219, 0.00775228, 0.01078197, 0.00501751, 0.0072098, 0.02181295, 0.00469749, 0.01631878, 0.0115282, 0.00998246, 0.00352828, 0.00336861"
60,"['ATVI', 'ADBE', 'AMD', 'GOOG', 'AMZN', 'AMGN', 'AAPL', 'AMAT', 'ADP', 'BIDU', 'BIIB', 'BMRN', 'BKNG', 'AVGO', 'CDNS', 'CHTR', 'CTAS', 'CSCO', 'CMCSA', 'COST', 'CSX', 'DLTR', 'EBAY', 'EXC', 'FB', 'FAST', 'FISV', 'GILD', 'ILMN', 'INTC', 'ISRG', 'JD', 'KHC', 'LULU', 'MAR', 'MXIM', 'MCHP', 'MU', 'MSFT', 'MDLZ', 'NTES', 'NFLX', 'NVDA', 'ORLY', 'PYPL', 'PEP', 'QCOM', 'REGN', 'SIRI', 'TMUS', 'TTWO', 'TSLA', 'TXN', 'ULTA', 'VRSN', 'VRSK', 'VRTX', 'WBA', 'XEL', 'XLNX']","0.00452559, 0.02421529, 0.00455468, 0.08210582, 0.0971347, 0.01323548, 0.10049427, 0.00928941, 0.02263191, 0.00462115, 0.00593485, 0.00633001, 0.01396649, 0.01539212, 0.00833862, 0.01071674, 0.00613458, 0.02996364, 0.02302602, 0.01155178, 0.00999036, 0.00499932, 0.01112279, 0.00608628, 0.05039466, 0.00404799, 0.00523575, 0.014484, 0.00813446, 0.03010991, 0.01038768, 0.0037647, 0.00484911, 0.00376088, 0.01088427, 0.01227233, 0.0049793, 0.00702344, 0.10525669, 0.01587001, 0.00285304, 0.01818363, 0.00906741, 0.00844478, 0.0210647, 0.01621079, 0.01115108, 0.00708921, 0.01227314, 0.00970504, 0.00235588, 0.00669868, 0.01468477, 0.00364598, 0.0089131, 0.00590937, 0.00631716, 0.0089352, 0.00282164, 0.00585832"
70,"['ATVI', 'ADBE', 'AMD', 'GOOGL', 'AMZN', 'AMGN', 'AAPL', 'AMAT', 'ASML', 'ADSK', 'ADP', 'BIDU', 'BIIB', 'BMRN', 'BKNG', 'AVGO', 'CDNS', 'CHTR', 'CTAS', 'CSCO', 'CTXS', 'CMCSA', 'COST', 'CSX', 'DLTR', 'EBAY', 'EA', 'EXC', 'FB', 'FAST', 'GILD', 'ILMN', 'INCY', 'INTC', 'INTU', 'ISRG', 'JD', 'KHC', 'LRCX', 'LBTYK', 'LULU', 'MAR', 'MXIM', 'MELI', 'MCHP', 'MU', 'MSFT', 'MDLZ', 'NTES', 'NFLX', 'NVDA', 'ORLY', 'PYPL', 'PEP', 'QCOM', 'REGN', 'SIRI', 'SBUX', 'SNPS', 'TMUS', 'TTWO', 'TSLA', 'TXN', 'ULTA', 'VRSN', 'VRSK', 'VRTX', 'WBA', 'WDAY', 'XLNX']","0.00298092, 0.01897956, 0.00430168, 0.08521622, 0.09660945, 0.01473894, 0.09928822, 0.00811364, 0.00197738, 0.00640896, 0.01815381, 0.00590782, 0.00730245, 0.00511308, 0.01375947, 0.01154107, 0.005352, 0.00810514, 0.00251632, 0.0263616, 0.00466849, 0.02848918, 0.01452995, 0.01118135, 0.00671263, 0.00988775, 0.00186803, 0.00276548, 0.04810198, 0.00223038, 0.01226457, 0.0060109, 0.00412463, 0.03280874, 0.00914015, 0.0112897, 0.00453913, 0.00657867, 0.00501336, 0.00225032, 0.0048232, 0.00793367, 0.01212423, 0.00134998, 0.00589988, 0.00448599, 0.10138037, 0.01576342, 0.00204794, 0.01632929, 0.00980478, 0.00457787, 0.01764309, 0.01898976, 0.01187606, 0.00506895, 0.0085559, 0.01018935, 0.00392116, 0.01028058, 0.00515304, 0.00554587, 0.01214589, 0.00454097, 0.00464537, 0.00308751, 0.00608756, 0.00958397, 0.00303821, 0.005943"
80,"['ATVI', 'ADBE', 'AMD', 'ALXN', 'GOOGL', 'GOOG', 'AMZN', 'AMGN', 'AAPL', 'AMAT', 'ASML', 'ADSK', 'ADP', 'BIDU', 'BIIB', 'BMRN', 'BKNG', 'AVGO', 'CDNS', 'CHTR', 'CTAS', 'CSCO', 'CTXS', 'CTSH', 'CMCSA', 'COST', 'CSX', 'DXCM', 'DLTR', 'EBAY', 'EA', 'EXC', 'EXPE', 'FB', 'FAST', 'FISV', 'GILD', 'ILMN', 'INCY', 'INTC', 'INTU', 'ISRG', 'JD', 'KLAC', 'KHC', 'LRCX', 'LBTYK', 'LULU', 'MAR', 'MXIM', 'MELI', 'MCHP', 'MU', 'MSFT', 'MDLZ', 'NTES', 'NFLX', 'NVDA', 'ORLY', 'PCAR', 'PAYX', 'PYPL', 'PEP', 'QCOM', 'REGN', 'ROST', 'SIRI', 'SBUX', 'SNPS', 'TMUS', 'TTWO', 'TSLA', 'TXN', 'ULTA', 'VRSN', 'VRSK', 'VRTX', 'WBA', 'WDAY', 'XLNX']","0.00311927, 0.01784451, 0.00356642, 0.0012749, 0.0571474, 0.02798471, 0.09618403, 0.0142696, 0.10258137, 0.004063, 0.00259746, 0.00340811, 0.01488613, 0.00587319, 0.00679245, 0.00444444, 0.01350679, 0.01252404, 0.00430964, 0.00881635, 0.00226183, 0.02721113, 0.00205628, 0.00336154, 0.02451146, 0.01368782, 0.01049734, 0.00217681, 0.00619334, 0.00654073, 0.00245861, 0.00349159, 0.00317561, 0.04808409, 0.0023058, 0.00395666, 0.01299823, 0.00633987, 0.00192241, 0.03199614, 0.00770153, 0.01037355, 0.00472928, 0.00373816, 0.0065755, 0.00332865, 0.00323971, 0.002128, 0.0075713, 0.01175113, 0.00205588, 0.003906, 0.00615714, 0.10387163, 0.01364836, 0.00270534, 0.01496775, 0.00953369, 0.0046322, 0.00214323, 0.00731721, 0.01875837, 0.01755632, 0.01092724, 0.00564349, 0.00508747, 0.00565403, 0.00436594, 0.00385637, 0.01089319, 0.00292962, 0.00680313, 0.01290787, 0.00405396, 0.00707806, 0.00569938, 0.00778239, 0.00924974, 0.00262422, 0.00563291"
90,"['ATVI', 'ADBE', 'AMD', 'ALXN', 'GOOGL', 'GOOG', 'AMZN', 'AMGN', 'AAPL', 'AMAT', 'ASML', 'ADSK', 'ADP', 'BIDU', 'BIIB', 'BMRN', 'BKNG', 'AVGO', 'CDNS', 'CHTR', 'CHKP', 'CTAS', 'CSCO', 'CTXS', 'CTSH', 'CMCSA', 'COST', 'CSX', 'DXCM', 'DOCU', 'DLTR', 'EBAY', 'EA', 'EXC', 'EXPE', 'FB', 'FAST', 'FISV', 'GILD', 'IDXX', 'ILMN', 'INCY', 'INTC', 'INTU', 'ISRG', 'JD', 'KLAC', 'KHC', 'LRCX', 'LBTYK', 'LULU', 'MAR', 'MXIM', 'MELI', 'MCHP', 'MU', 'MSFT', 'MRNA', 'MDLZ', 'MNST', 'NTES', 'NFLX', 'NVDA', 'NXPI', 'ORLY', 'PCAR', 'PAYX', 'PYPL', 'PEP', 'PDD', 'QCOM', 'REGN', 'ROST', 'SIRI', 'SWKS', 'SBUX', 'SNPS', 'TMUS', 'TTWO', 'TSLA', 'TXN', 'TCOM', 'ULTA', 'VRSN', 'VRSK', 'VRTX', 'WBA', 'WDAY', 'XEL', 'XLNX']","0.00422329, 0.01714005, 0.004037, 0.00244975, 0.05682884, 0.02971662, 0.09561341, 0.01363725, 0.1020114, 0.00355226, 0.00135311, 0.00392298, 0.01475858, 0.00512996, 0.00665961, 0.00396161, 0.01134729, 0.0128712, 0.00381847, 0.00794373, 0.00163648, 0.00230747, 0.02721086, 0.00254003, 0.00369732, 0.02322209, 0.01131417, 0.01032484, 0.00142872, 0., 0.00682689, 0.00505739, 0.00238859, 0.00407096, 0.00274719, 0.04732422, 0.00186533, 0.00369268, 0.01211013, 0.00071771, 0.00538442, 0.00170131, 0.03240198, 0.00766876, 0.0109998, 0.00516878, 0.0051955, 0.0065081, 0.00248127, 0.00294571, 0.00236789, 0.00907179, 0.01052512, 0.00211917, 0.00421771, 0.00532832, 0.10135634, 0.00038961, 0.01392866, 0.00122998, 0.00312328, 0.01627176, 0.00957589, 0.00231532, 0.00367322, 0.00409483, 0.0064125, 0.02038092, 0.01587072, 2.13994977e-05, 0.01113903, 0.00559514, 0.00457532, 0.00604287, 0., 0.0050107, 0.00511469, 0.01032248, 0.00214718, 0.00651116, 0.01261723, 0.00046287, 0.00383325, 0.00618102, 0.00663415, 0.00883235, 0.00913102, 0.0025558, 0.0036619, 0.00544226"
